org_name,org_alt_name,ein_num,bio,city,state,assets,income
Climate Action Families,Climate Change for Families,46-5636361,"['Environmental justice, <em>Climate change,</em> Environmental education, Community and economic development, Community improvement, Community organizing, Human rights, Diversity and intergroup relations, Age groups, Family relationships, Families, Non-governmental organizations, Public charities', '<em>Climate</em> Action Families provides support, education, and resources to build a sustainable, inclusive, intergenerational <em>climate</em> justice movement whose participants want to become the <em>change</em> needed for a just transition to a sustainable and compassionate society respecting all life and our planet. Advocacy']",Seattle,WA,22543,68364
Climate Change Education Project,More Than Scientists,26-3217081,"['growing community of <em>climate</em> scientists sharing our personal feelings and concerns about <em>climate change.</em> Not the science itself, but why it matters – what it will mean for our children and grandchildren.  Beyond our lab coats, we’re parents, community members, and concerned citizens sharing our hopes for the future.  We invite you to join us in speaking out about <em>climate change</em> and working together ', ' More Than Scientists is a growing community of <em>climate</em> scientists sharing our personal feelings and concerns about <em>climate change.</em> Not the science itself, but why it matters – what it will mean for our children and grandchildren.  Beyond our lab coats, we’re parents, community members']",Seattle,WA,22258,100
ENVIRONMENTAL DEFENSE FUND INCORPORATED,"Environmental Defense Fund, EDF",11-6107128,"['<em>Climate change,</em> clean energy, wildlife, environment, oceans, health, Environment, Health, Public health, Environmental health, Science, Social sciences, Economics, Human rights, Social rights, Environmental and resource rights, Natural resources, Age groups, Children and youth, Adults, Ethnic and racial groups, Non-governmental organizations, Public charities', ""is to build a vital Earth. For everyone.By leveraging our deep expertise in science and economics, EDF delivers bold, game-<em>changing</em> solutions to address the biggest challenge of our time — <em>climate</em> change.We work to stabilize the <em>climate,</em> strengthen the ability of people and nature to thrive and support people's health. Working in more than 30 countries, we focus on the areas where we can make the biggest""]",New York City,NY,477638635,502744237
PHYSICIANS FOR SOCIAL RESPONSIBILITY INC,PSR,23-7059731,"['non-proliferation, environment and health, nuclear energy, public health, counterproliferation, disarmament, physicians, global warming, Code Black, coal fired power plants, clean atlernative energy, toxics, <em>climate change,</em> peristent organic pollution, fish and toxics, mercury, Nobel Peace Prize, foreign policy, security policy, public health, public health policy, air quality, water quality, steps to zero, eliminate', ' PSR’s Environment and Health Program amplifies the voices of health professionals and other advocates on the catastrophic consequences of <em>climate change</em> and other environmental hazards to health.Support efforts at the local, state, and federal level to oppose fracking, fracked-gas pipelines, compressor stations, and fossil fuel exports.Promote ']",Washington,DC,1306650,1894823
Wildlife Society,CLIMATE CHANGE & WILDLIFE WORKING,45-1647327,[],Bethesda,MD,0,0
"Bill, Hillary & Chelsea Clinton Foundation",Clinton Foundation,31-1580204,"[' Economic Development; Public Health; Civic Engagement; Early Childhood Education; <em>Climate Change</em>; Substance Misuse; Opioid; Volunteerism', ' improve public health, confront the <em>climate</em> crisis, and inspire citizen engagement and service. The Foundation also operates the Clinton Presidential Center, which provides educational and cultural programming and is home to the Clinton Presidential Library &amp; Museum Economic']",Little Rock,AR,306402788,64938985
"Oceana, Inc.",,51-0401308,"[' Ocean, sea, fish, trawling, Arctic, pollution, shark, sea turtle, coral, bluefin tuna, whale, dolphin, subsidies, <em>climate change,</em> clean energy, marine protected area, offshore drilling, offshore oil, seafood, contamination, Environment, Age groups, Adults, Non-governmental organizations, Public charities']",Washington,DC,74617155,44502103
Climate Neutral,The Change Climate Project,83-3404014,"['  <em>climate change,</em> sustainability', 'sustainability, carbon emissions, environment, grassroots corporate mobilization, Environment, <em>Climate change,</em> Age groups, Adults, Non-governmental organizations, Public charities']",San Francisco,CA,973571,1708379
The Alliance for Climate Protection d/b/a The Climate Reality Project,The Climate Reality Project,87-0745629,"['  environment, <em>climate change,</em> global warming, <em>climate</em> crisis, Al Gore, <em>climate</em> justice, Environment, Community and economic development, Community improvement, Community organizing, Age groups, Children and youth, Adolescents, Adults, Social', 'global convening on <em>climate change,</em> the annual UN Conference of Parties (COP) is critical to promoting international cooperation to limit global warming to 1.5 degrees Celsius. At COP 28 in 2023, <em>Climate</em> Reality called on international leaders to transition away from fossil fuels, increase <em>climate</em> finance, and reform the COP process to make it a more effective vehicle for <em>change.</em> Over the next two years']",Washington,DC,25729669,30287699
RMI,Rocky Mountain Institute,74-2244146,"['Mountain Institute, <em>climate change,</em> energy transition, clean energy, Environment, Science, Age groups, Adults, Social and economic status, Economically disadvantaged people, Non-governmental organizations, Public charities', 'policies that will empower communities across the Global South to tackle <em>climate</em> challenges and seize clean energy opportunities. Communications: As an audience-first, multi-channel storytelling force, RMI strategically communicates to its stakeholders, the media, and key decision-makers to <em>change</em> the course of <em>climate change.</em> The Portfolio Impact Accelerator increases the impact of RMI programs by ']",Boulder,CO,140735486,164378358
"Heifer Project International, Inc.",Heifer International,35-1019477,"['income of $182 per farmer per month by improving business practices and management of agroecological farms. The project promotes and supports strengthened agroecological practices in response to <em>climate change,</em> protecting biodiversity, soil, water of fragile ecosystems and a World Heritage Site.Producer associations gain permanent access to agroecological markets, leading to an increase in socially and', 'We work to end hunger and poverty in partnership with local communities. Our programs support entrepreneurs around the world, creating lasting <em>change</em> from the ground up.It begins with a seed investment of livestock or agriculture, followed by mentorship to help project participants build a business, and ultimately to gain access to supply chains and markets.These families are able to earn a living ']",Little Rock,AR,287748580,151302176
WINDWARD FUND,,47-3522162,"[' environment, conservation, <em>climate change,</em> food systems, Environment, Natural resources, Philanthropy, Non-governmental organizations, Public charities', "" ENVIRONMENTAL PROGRAMS - WINDWARD FUND'S ENVIRONMENTAL PROGRAMS FOCUS ON A RANGE OF CONSERVATION, <em>CLIMATE,</em> AND ENERGY ISSUES IN THE U.S. AND ABROAD. THESE ISSUES INCLUDE WATER SOLUTIONS IN THE AMERICAN WEST, <em>CLIMATE</em> RESILIENCE, ALTERNATIVE ENERGY""]",Washington,DC,337278177,224227936
MN350,Minnesota 350,45-2754381,"[' <em>climate change,</em> <em>climate</em> justice, <em>climate</em> movement, Environment, <em>Climate change,</em> Age groups, Children and youth, Adults, Ethnic and racial groups, People of Middle Eastern descent, People of Asian descent, People of African', 'inclusive food system in Minnesota. Mounting evidence shows that oil companies knew as early as the 1960s that burning the fossil fuels they sell and promote to Minnesotans would create dangerous <em>climate change.</em> MN350’s Big Deception campaign seeks to build public will for holding fossil fuel companies accountable for a legacy of disinformation around the environmental impact of our continued reliance ']",Minneapolis,MN,1240328,1441218
CDP North America,,36-4709977,"[' Environment, <em>Climate Change,</em> Environment, <em>Climate change,</em> Environmental education, Information and communications, News and public information, Open data, Age groups, Adults, Non-governmental organizations, Public charities', "" CDP's <em>Climate Change</em> work aims to integrate <em>climate change</em> into the standard conception of governance, leading to an economy-""]",New York City,NY,39366711,33180320
CLIMATEWORKS FOUNDATION,,26-2303250,"[' <em>climate change,</em> china, U.S., European Union, India, Latin America, Environment, <em>Climate change,</em> Natural resources, Energy resources, Energy efficiency, Fossil fuels, Philanthropy, Foundations, Age groups, Adults, Non-governmental organizations, Public charities', ' a mission to end the <em>climate</em> crisis by amplifying the power of philanthropy. climate']",San Francisco,CA,503138297,350232011
US CLIMATE ACTION NETWORK,USCAN,20-4597308,"[' <em>Climate Change,</em> Environment, <em>Climate change,</em> Community and economic development, Age groups, Adults', 'build trust and alignments among its members to fight <em>climate change</em> in a just and equitable way.We envision a powerful, inclusive, and trusting network of US organizations who worked together to meet the global goals in the Paris <em>Climate</em> Agreement and exceed the US targets outlined in that agreement. Climate']",Washington,DC,5156956,3034918
350 Org,,26-1150699,"['<em>Climate Change,</em> Global Warming, Organizing, Grassroots, Public Policy, Environment, <em>Climate change,</em> Community and economic development, Business and industry, Social enterprise, Human rights, Age groups, Children and youth, Adults, Ethnic and racial groups, Non-governmental organizations, Public charities', 'climate movement that challenges the systems that lead to catastrophic <em>climate change</em> and brings the world closer to a just and sustainable future.']",Boston,MA,16420089,22610391
350 Seattle,350Seattle,46-4201865,"[' <em>climate</em> justice, <em>climate change,</em> intersectional, Environment, Age groups, Adults, Non-governmental organizations, Public charities', 'corporations to stop investing in fossil fuel projects using the arts to educate and inspire people to do something about <em>climate change</em> admin, fundraising, finance, data, and more -- all to give 350 Seattle a solid foundation supports the growth of 350 Seattle, through movement building supports (like trainings, outreach, and volunteer engagement).']",Seattle,WA,729106,1463713
"CALSTART, Inc.",,95-4375022,"[' clean transportation technology, low carbon fuels, industry catalyst, sustainability, <em>climate change,</em> emissions, air quality, Environment, <em>Climate change,</em> Natural resources, Air quality, Energy resources, Energy efficiency, Renewable energy, Community and economic development, Economic development, Urban development, Public', ' future. Goods movement is the fastest growing sector of transportation, but at great cost to urban air quality and the <em>climate</em> worldwide. CALSTART’s Trucks and Non-Road Vehicle Initiative is working to keep goods and services moving while reducing air pollution and <em>climate change,</em> growing jobs and increasing energy security.CALSTART drives faster commercialization of low-emission, high-efficiency trucks']",Pasadena,CA,49283495,66442286
350PDX,,46-4120269,"[' <em>Climate,</em> <em>Climate Change,</em> <em>Climate</em> Justice, Environment, Community and economic development, Community improvement, Community organizing, Age groups, Adults, Social and economic status, Economically disadvantaged people, Low-income people', 'Building a diverse grassroots movement to address the causes of <em>climate</em> disruption through justice-based solutions by inspiring, training and mobilizing people to act. Climate']",Portland,OR,316131,415358
Climate Generation,,02-0712905,"[' <em>Climate change,</em> <em>climate change</em> education, Environmental education, advocacy, clean energy, youth leadership, <em>climate,</em> energy, <em>climate</em> literacy, <em>climate</em> justice, Environment, <em>Climate change,</em> Environmental education, Human services, Youth development, Civics for youth, Age groups, Children', 'interdisciplinary model of <em>climate change</em> education that engages all learners and fosters <em>climate</em> literacy and action. Our Youth program goal is to provide opportunities for high school students to engage as stakeholders in the just transition to a healthy and resilient <em>climate</em> future. Our Community Engagement Program engages individuals and business leaders in how to effectively engage in <em>climate change</em> solutions ']",Minneapolis,MN,1663331,1579278
Years Project Inc,The YEARS Project,83-1071156,"['measurable and effective action on <em>climate change</em> through trusted storytelling across all media.', ' <em>climate change,</em> <em>climate</em> solution, education, environment, Environment, Age groups, Adults, Non-governmental organizations, Public charities']",Brooklyn,NY,2151623,1749226
Kalliopeia Foundation,,94-3270387,"[' ecology, spirituality, <em>climate change,</em> interconnectedness, Native American, indigenous culture, indigenous language, meditation, education, agriculture, soul, environment, Environment, <em>Climate change,</em> Science, Biology, Ecology, Religion, Spirituality, Philanthropy, Foundations, Age groups, Adults, Ethnic and racial']",Inverness,CA,228488345,181000821
Re:wild,,26-2887967,"[' wildlife, endangered species, habitat conservation, natural solutions to <em>climate change,</em> Environment, <em>Climate change,</em> Natural resources, Land resources, Biodiversity, Wildlife biodiversity, Age groups, Adults, Ethnic and racial groups, Indigenous peoples, Non-governmental organizations, Public charities', 'Re:wild protects and restores the wild to build a thriving Earth where all life flourishes. We have a singular and powerful focus: the wild as the most effective solution to the interconnected <em>climate,</em> biodiversity and human wellbeing crises. Founded by a group of renowned conservation scientists together with Leonardo DiCaprio, Re:wild is a force multiplier that brings together Indigenous peoples,']",Austin,TX,76957327,53334340
Southern Oregon Climate Action Now,SOCAN,47-2464086,"['Oregon <em>Climate</em> Action Now (SOCAN) is to promote awareness and understanding about the science, causes, and consequences of <em>climate change.</em> We work with individuals and organizations in Southern Oregon, statewide, nationally, and internationally to advocate for both personal and governmental actions that reduce the emissions and atmospheric concentration of greenhouse gases.', 'science, activism, legislation, forests, fire, <em>climate</em> adaptation, <em>climate</em> mitigation, <em>climate change,</em> global warming, <em>climate</em> chaos, Education, Environment, Agriculture, fishing and forestry, Age groups, Adults, Non-governmental organizations, Public charities']",Jacksonville,OR,127532,113391
Sonoma Land Trust,,51-0197006,"[' environment, land conservation, land trust, natural resources, land saving, land preservation, <em>climate change,</em> sustainability, <em>climate</em> resiliency, biodiversity, natural <em>climate</em> solutions, wildfire mitigation, adaptation, Environment, <em>Climate change,</em> Natural resources, Biodiversity, Forest preservation, Land resources, Age groups, Children and youth, Adults, Non-governmental']",Santa Rosa,CA,55799856,16453814
Open Earth Foundation,,85-3261449,"[' <em>Climate</em> Tech, Earth tech, <em>Climate change,</em> Environment, Science, Physical and earth sciences, Technology, Ethnic and racial groups, Religious groups, Non-governmental organizations, Public charities', ' The Open <em>Climate</em> project focuses on increasing trust and accountability on <em>climate</em> action pledges through an integrated <em>climate</em> accounting system —fundamentally supporting']",Marina Del Rey,CA,3282146,3021687
Climate Justice Initiative,,83-2588707,"['. This <em>Climate</em> Justice Initiative is not only the first Indigenous <em>climate change</em> organization in the US, but also the first that is led by a founding board of Indigenous women. CJI is designed to empower indigenous peoples, notably indigenous women, to transform the narratives and lives those affected by <em>climate change</em> and is in a position to have an outsized impact on global <em>climate change</em> mitigation', ' the effects of <em>climate change</em> within indigenous communities and peoples, particularly those most often left behind by mainstream narratives, to be more emboldened and resilient against the growing threat of <em>climate change</em> by creating access to resources; connecting communities; educating peoples groups, individuals and communities and encouraging Tribal people to think about <em>climate</em> adaptation while']",Seattle,WA,0,0
African Wildlife Foundation,AWF,52-0781390,"[' Africa, Wildlife, Community and Economic Development, Environment and <em>Climate Change,</em> Environment, Natural resources, Biodiversity, Wildlife biodiversity, Community and economic development, Age groups, Adults, Non-governmental organizations, Public charities']",Washington,DC,44798224,38730824
CLIMATE SOLUTIONS,,91-1123302,"[' <em>climate change,</em> <em>climate</em> policy, clean energy, renewable energy, Environment, <em>Climate change,</em> Natural resources, Energy resources, Age groups, Adults, Non-governmental organizations, Public charities', ""<em>Climate</em> Solutions' mission is to accelerate clean energy solutions to the <em>climate</em> crisis. climate""]",Seattle,WA,5421751,5786128
CLIMATE PARLIAMENT INC,Climate Parliament,98-0400660,"[' Renewable energy, <em>climate change,</em> Environment, <em>Climate change,</em> Natural resources, Energy resources, Environmental education, Community and economic development, International relations, Age groups, Children and youth, Adults, Sexual identity, Women and girls, ', 'The <em>Climate</em> Parliament US is an international multi-partisan network of members of Congress and Parliament working worldwide to help solve the <em>climate</em> crisis and accelerate the transition to renewable energy. It aims to build capacity among legislators on <em>climate</em> and renewable energy issues, and to mobilize political will and ambition for a rapid transition to net zero. The <em>Climate</em> Parliament US collaborates']",Concord,MA,22090,97955
Sierra Club Foundation,SCF,94-6069890,"[' clean energy, <em>climate change,</em> conservation, lands protection, outdoors, movement building, environmental justice, community partnerships, sierra', 'The Sierra Club Foundation promotes <em>climate</em> solutions, conservation, and movement building through a powerful combination of strategic philanthropy and grassroots advocacy. The Foundation is the fiscal sponsor of Sierra Club’s charitable environmental programs. clean']",Oakland,CA,207976050,123320152
Geos Institute,GEOS INSTITUTE,93-0880205,"['the face of <em>climate change</em> using science and local knowledge. Our holistic approach prioritizes the needs of ecosystems and those on the frontlines of <em>climate change</em> impacts.', ' <em>climate change,</em> adaptation, resilience, Environment, <em>Climate change,</em> Natural resources, Science, Age groups, Adults, Non-governmental organizations, Public charities']",Ashland,OR,513141,304646
Oregon Climate Trust,The Climate Trust,91-1829325,"[' nonprofit, agriculture, forestry, renewable energy, carbon markets, offsets, <em>climate change,</em> global warming, Environment, <em>Climate change,</em> Natural resources, Water resources, Biodiversity, Forest preservation, Age groups, Adults, Non-governmental organizations, Public charities', 'The <em>Climate</em> Trust combats <em>climate change</em> by funding and managing projects that reduce greenhouse gas emissions. nonprofit']",Portland,OR,29327897,12365837
California Energy Alliance,CEA,82-3040711,"[' energy policy development and advocacy; <em>climate change</em> policy development; <em>climate change</em> advocacy, Environment, <em>Climate change,</em> Natural resources, Energy resources, Environmental education, Public affairs, Community', 'codes, standards, and policy. CEA Mission: CEA works to bring beneficial, equitable <em>change</em> to energy standards, policies and programs by developing consensus among diverse and engaged stakeholders. energy']",Sacramento,CA,49509,406546
The Climate Center,CLIMATE PROTECTION CAMPAIGN,45-0485495,"[' <em>Climate Change,</em> Renewable Energy, Community Choice, Environmental Policy, Environment, Age groups, Adults, Social and economic status, Economically disadvantaged people, Non-governmental organizations, Public charities', 'The <em>Climate</em> Center is a <em>climate</em> and energy policy nonprofit working to rapidly reduce <em>climate</em> pollution at scale, starting in California. Climate']",Santa Rosa,CA,1186577,3278086
ECOADAPT,,26-3303629,"['ECOADAPT IS AT THE EPICENTER OF <em>CLIMATE CHANGE</em> ADAPTATION INNOVATION. WE BRING TOGETHER DIVERSE PLAYERS TO RESHAPE PLANNING AND MANAGEMENT IN RESPONSES TO  <em>CLIMATE CHANGE.</em>', ' <em>Climate Change,</em> Adaptation, Environment, <em>Climate change,</em> Natural resources, Water resources, Biodiversity, Forest preservation, Age groups, Adults, Non-governmental organizations, Public charities']",Bainbridge Island,WA,1659889,1596808
F A C T NET INC - FIGHT AGAINST COERCIVE TACTICS NETWORK,"Factnet, Job One for Humanity, Universe Spirit, Universe Institure,",84-1235635,"['Factnet facilitates education and public dialog on the <em>climate change</em> emergency, <em>climate change</em> preparation, adaptation, and resilience-building for homes, businesses, farms, and communities. It also educates about <em>climate change</em> justice.  It was founded in 1993, and it performs its educational functions on the Internet.  Factnet includes the following websites and organizations as DBAs; Job One for', ' <em>Climate change</em> education, cliamte <em>change</em> resilience building, <em>climate change</em> preparation, <em>climate change</em> adaptations, sustainability education,, Education, Age groups, Adults, Non-governmental organizations, Public charities']",Laughlin,NV,0,0
PropagationNation,,83-3715370,"[' propagation, redwoods, sequoias, trees, reforestation, <em>climate change,</em> Environment, Environmental justice, <em>Climate change,</em> Natural resources, Biodiversity, Forest preservation, Environmental education, Age groups, Children and youth, Adults, Work status and occupations, Farmers, Artists and', "" Bring millions of Coast Redwoods and Giant Sequoias to the Pacific Northwest to fight <em>climate change</em> and enhance our region's natural beauty.""]",University Place,WA,0,0
Onegreenthing,,85-3927680,"[' <em>climate</em> anxiety, mental health and <em>climate change,</em> ecoanxiety, <em>climate</em> crisis, compassion , Environment, <em>Climate change,</em> Natural resources, Environmental education, Health, Diseases and conditions, Mental and behavioral disorders, Stress, Public affairs, Public policy', 'OneGreenThing tackles <em>climate</em> crisis anxiety &amp; overwhelm through joyful daily action, leading to culture <em>change</em> for policy solutions. climate']",Bozeman,MT,39439,40834
"Kids Fight Climate Change, Inc.",,87-1364123,"['Our website serves as an online educational portal where youth can learn about <em>climate change,</em> explore solutions, and take action. It is designed to allow youth to be able to learn on their own, as well as for parents to guide their children through <em>climate change.</em> We are constantly developing articles and graphics, adding new content every month.', ' Education, Environment, <em>Climate change,</em> Environmental education, Age groups, Children and youth, Non-governmental organizations, Public charities The']",New York City,NY,0,0
Cool Earth,Cool Earth Action,26-3688173,"[' Rainforest protection and <em>climate change,</em> Environment, <em>Climate change,</em> Natural resources', ' Cool Earth tackles <em>climate change</em> at its root by supporting Indigenous peoples living in rainforests. These communities are the most effective stewards of these vital ecosystems, and their well-being is intricately linked to forest']",Chester,NJ,2910770,1238670
Evergreen Action,Evergreen Collaborative (C3),86-1697158,"['  <em>climate change,</em> public policy, advocacy, environment, clean energy, transportation, buildings, communications, <em>climate</em> action, Environment, <em>Climate change,</em> Philanthropy, Philanthropy', ""leading the fight to put bold <em>climate</em> action at the top of America's agenda, implement an all-out mobilization to defeat the <em>climate</em> crisis and create millions of good union jobs in a just and thriving clean energy economy.  climate""]",Seattle,WA,2133619,1996540
"Union of Concerned Scientists, Inc.",UCS,04-2535767,"['  global warming, nuclear weapons, renewable energy, fuel economy, nuclear power, science, democracy, scientific integrity, clean transportation, <em>climate change,</em> healthy food, Environment, <em>Climate change,</em> Natural resources, Energy resources, Agriculture, fishing and forestry, Food security, Sustainable agriculture, International relations, International peace and security, ', ' UCS is using <em>climate</em> science to push policymakers to take bolder, scientifically informed, equity-promoting action that will cut US global warming emissions in half by 2030 and increase community resilience to the threats posed by <em>climate change</em>.Our priorities for the coming year are to:•     build power and support for urgently needed emissions reductions and <em>climate</em> preparedness measures;']",Cambridge,MA,71567370,64427163
Pennsylvania Interfaith Power & Light,PA IPL,46-0988790,"['community of congregations, faith-based organizations, and individuals of faith responding to <em>climate change</em> as an ethical and moral issue, through advocacy, education, energy conservation, energy efficiency, stewardship, and the use and promotion of clean, renewable energy.', ' faith; interfaith; <em>climate change</em>; <em>climate</em> action; environmental justice, Environment, Environmental justice, Community and economic']",Lancaster,PA,87057,170368
SACHAMAMA,,46-3341619,"[' lifestyles. Through <em>climate change</em> advocacy, leadership development, and community-based and policy related <em>climate</em> action, we provide Latinxs with the tools to improve their capabilities, understanding, and civic capacity to build healthier, more resilient communities, and by doing so, claim a stronger, more effective public voice in the United States.', ' Latinos, <em>Climate Change,</em> Leadership, Renewables']",Boynton Beach,FL,559359,477431
Climate Asia Inc,,92-0696229,"[' <em>Climate change,</em> <em>Climate</em> career, Organisational Development, Network building', ' The Civil Society Academy by <em>Climate</em> Asia is an institute that aims to educate and empower individuals and organisations to address the challenges of <em>climate change</em> in Asia. Through various programs and initiatives, the academy provides online/offline training, resources, and networking opportunities']",Dorchester Center,MA,0,0
Evergreen Collaborative,Evergreen Action,86-1741610,"['<em>climate change,</em> public policy, advocacy, environment, clean energy, transportation, buildings, communications, <em>climate</em> action , Environment, <em>Climate change,</em> Public affairs, Public policy, Age groups, Adults, Family relationships, Families, Ethnic and racial groups, Social and economic status, Economically disadvantaged people, Work status and occupations, Domestic workers, Activists, Non-governmental', ""Evergreen is leading the fight to put bold <em>climate</em> action at the top of America's agenda, implement an all-out mobilization to defeat the <em>climate</em> crisis and create millions of good union jobs in a just and thriving clean energy economy. ""]",Seattle,WA,3614342,4895144
Spring Farm Sanctuary,,81-3042880,"[' advocacy, compassion, <em>climate change,</em> Education, Environment, Health, Ethnic and racial groups, Religious groups, Non-governmental organizations, Foundations', 'organization dedicated to rescuing and rehabilitating farm animals. We seek to educate the public about the mistreatment of animals, advocate for their protection and inspire <em>change</em> for compassionate living. advocacy']",Long Lake,MN,39339,96008
The Marine Mammal Center,Marine Mammal Center,51-0144434,"[' Conservation, <em>climate change,</em> environment, marine mammal center, sea otter, seal, wildlife rescue, rehabilitation, ocean, science, research, education, Education, Environment, Domesticated animals, Animal welfare, Veterinary medicine, Science, Physical and']",Sausalito,CA,50246758,56763904
Global Witness,Global Witness,98-0493088,"[' Anti-Corruption, Transparency, Sustainability, Natural Resources, <em>Climate Change,</em> Campaigning, Advocacy, Environment, Human rights, Social rights, Environmental and resource rights, International', 'campaigning to end this. We carry out hard-hitting investigations, expose these abuses, and campaign for <em>change.</em>  We are independent, not-for-profit, and work with partners around the world in our fight for justice. Anti-Corruption']",Palo Alto,CA,10453050,13329363
My Green Doctor Foundation,My Gree Doctor,86-1291076,"[' Patient education, <em>climate change,</em> Environment, Environmental justice, <em>Climate change,</em> Natural resources, Solid waste management', 'environmental sustainability and <em>climate change</em>;  2.  providing an environmental sustainability practice management program for healthcare offices, clinics, and other outpatient facilities; and providing teaching resources for health professionals, their staff members, and patients. Patient']",Jacksonville Beach,FL,0,0
