org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
Public Health Council,,47-4045226,"['Endeavor to educate the general <em>public</em> and lawmakers regarding <em>public</em> policies that affect <em>health.</em>', ' <em>Health,</em> Non-governmental organizations']",Calabasas,CA,0,0,Endeavor to educate the general public and lawmakers regarding public policies that affect health.,,,,,
Public Health Foundation,,82-2756302,"['PROVIDE EDUCATION REGARDING <em>PUBLIC HEALTH</em>', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Fort Dodge,IA,11946,112,PROVIDE EDUCATION REGARDING PUBLIC HEALTH,,,,,
Public Health Fund of Ohio,,84-2994648,"[' THE <em>PUBLIC HEALTH</em> FUND OF OHIO IS DESIGNED TO FACILITATE <em>PUBLIC</em>/PRIVATE PARTNERSHIPS AND CONDUCT CRITICAL, ENDURING, SUSTAINABLE, AND COST-EFFECTIVE <em>PUBLIC HEALTH</em> PROJECTS AND PROGRAMMING.', "" PROMOTE <em>PUBLIC HEALTH</em> AWARENESS AND EDUCATIONAL CAMPAIGNS; OFFER INNOVATIVE <em>PUBLIC</em>-PRIVATE APPROACHES TO OHIO'S MOST-PRESSING NEEDS; INCUBATE""]",Cincinnati,OH,6859509,2177771,"THE PUBLIC HEALTH FUND OF OHIO IS DESIGNED TO FACILITATE PUBLIC/PRIVATE PARTNERSHIPS AND CONDUCT CRITICAL, ENDURING, SUSTAINABLE, AND COST-EFFECTIVE PUBLIC HEALTH PROJECTS AND PROGRAMMING.",,,,,
Public Health Foundation Inc,,92-3884753,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Virginia Beach,VA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health International,,93-0882832,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Roseburg,OR,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Home Health Inc,,58-2109954,"['HOME <em>HEALTH</em> CARE.', ' <em>Health,</em> Nursing care, Home <em>health</em> care, Non-governmental organizations, <em>Public</em> charities']",Valdosta,GA,310955,1367667,HOME HEALTH CARE.,,,,,
Public Health Museum of Texas,,74-2815315,"['Arts and culture, Museums, Science museums, Non-governmental organizations, <em>Public</em> charities']",Austin,TX,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Law Association,,20-0040842,"['<em>Health,</em> <em>Public health,</em> <em>Public</em> safety, Legal services, Non-governmental organizations, Associations, Individual membership associations']",Atlanta,GA,1,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Acupuncture of NM,,80-0415717,"['The mission of <em>Public Health</em> Acupuncture of New Mexico is to promote the use of acupuncture to improve the <em>health</em> of people, to reduce <em>health</em> disparities, and to develop a <em>public health</em> acupuncture practitioner workforce for New Mexico.We achieve this by: Promoting the use of acupuncture for <em>public health</em> applications Providing support in starting up accessible low-cost acupuncture clinics Providing', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Albuquerque,NM,107066,138993,"The mission of Public Health Acupuncture of New Mexico is to promote the use of acupuncture to improve the health of people, to reduce health disparities, and to develop a public health acupuncture practitioner workforce for New Mexico.We achieve this by: Promoting the use of acupuncture for public health applications Providing support in starting up accessible low-cost acupuncture clinics Providing support in starting up acupuncture addiction programs Training practitioners Evaluating programs and communicating outcome results",,,,,
Public Health Data Lab Institute,,93-2221473,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Delray Beach,FL,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Accreditation Board,,26-0333211,"['and territorial, governmental <em>public health</em> departments. Through the national accreditation program, PHAB works to transform the <em>public health</em> system by (1) setting standards and measures that define excellence in <em>public health</em> department performance, (2) encouraging <em>public health</em> departments to engage in quality improvement, (3) expanding the evidence base of <em>public health</em> practice, and ultimately (4', 'as a tool to drive change and improve <em>health</em> and equity. The Center for Innovation: a) Drives <em>public health</em> transformation through collaboration, thought leadership, and systems-based learning; b) Collaborates with partners to explore how equity is and should be embedded in <em>public health</em> transformation, including developing strategies to implement innovation processes that intentionally include equitable']",Alexandria,VA,10025821,11176517,"The mission of PHAB is to advance and transform public health practice by championing performance improvement, strong infrastructure, and innovation. See Schedule O",,,,,
Public Health Advocacy in Action Inc,,22-2581961,[],Boston,MA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Matters International,,30-0498218,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Port Matilda,PA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Personal Support Services Inc,,58-2109983,"['HOME <em>HEALTH</em> CARE', ' <em>Health,</em> Nursing care, Home <em>health</em> care, Non-governmental organizations, <em>Public</em> charities']",Valdosta,GA,72085,744181,HOME HEALTH CARE,,,,,
PHYSICIANS FOR SOCIAL RESPONSIBILITY INC,PSR,23-7059731,"['security policy, <em>public health,</em> <em>public health</em> policy, air quality, water quality, steps to zero, eliminate nuclear weapons, global security, fissile material cut off, NPT, CTBT, START, Environment, Natural resources, Energy resources, <em>Health,</em> International relations, International peace and security, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities', 'Guided by the values and expertise of medicine and <em>public health,</em> Physicians for Social Responsibility works to protect human life from the gravest threats to <em>health</em> and survival. nuclear']",Washington,DC,1306650,1894823,"Guided by the values and expertise of medicine and public health, Physicians for Social Responsibility works to protect human life from the gravest threats to health and survival.",https://facebook.com/psrnational,https://twitter.com/@psrnational,https://youtube.com/PSRNational,https://instagram.com/PSRNational,https://linkedin.com/company/physicians-for-social-responsibility
"Natural Resources Defense Council, Inc.",NRDC,13-2654926,"[' environment, <em>public health,</em> global warming, climate change, conservation, Environment, Natural resources, Non-governmental organizations, <em>Public</em> charities', "" eliminating the load of these dangerous chemicals in the products we buy, the air we breathe, the food we eat and the water we drink can help reduce the toll of human disease and suffering. NRDC's <em>health</em> experts use law, science and the power of international commerce to keep the worst toxic chemicals off the market, out of the air, and away from our bodies. Clean and plentiful water is the cornerstone""]",New York City,NY,576913705,555076417,"NRDC works to safeguard the earth—its people, its plants and animals, and the natural systems on which all life depends.
We combine the power of more than three million members and online activists with the expertise of some 700 scientists, lawyers, and policy advocates across the globe to ensure the rights of all people to the air, the water, and the wild.",https://facebook.com/nrdc.org,https://twitter.com/NRDC,https://youtube.com/NRDCflix,,https://linkedin.com/company/natural-resources-defense-council
Public Health Partnership of Knoxcounty,,26-0829216,"[' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities', ' is committed to serving Knox County through the creation and implementation of equitable and sustainable <em>health</em> initiatives to ensure all Knox County residents have the opportunity to live, work, and play in the healthiest community. Health']",Mt Vernon,OH,61651,62888,"KHPP is committed to serving Knox County through the creation and implementation of equitable and sustainable health initiatives to ensure all Knox County residents have the opportunity to live, work, and play in the healthiest community.",,,,,
PUBLIC HEALTH FOUNDATION,PHF,52-1237297,"[' <em>Public Health</em> Practice (Council on Linkages) facilitate developing consensus across 24 diverse national organizations working to improve <em>public health</em> and population <em>health</em> practice, education, and research.  PHF has also expanded work to strengthen linkages between <em>public health,</em> and healthcare communities.  In 2021, the Council on Linkages adopted the revised Core Competencies for <em>Public Health</em> Professionals', ' <em>public health</em> population <em>health</em> workforce development training tools resources performance management quality improvement learning, <em>Health,</em> <em>Health</em> care administration and financing, <em>Health</em> care management, <em>Public health,</em> <em>Public</em> safety, Age groups, Adults, Non-governmental organizations, <em>Public</em> charities The']",Washington,DC,7202331,9125989,We improve public health and population health practice to support healthier communities,https://facebook.com/https://www.facebook.com/PHFDC/?ref=pages_you_manage @PHFDC ,https://twitter.com/https://twitter.com/ThePHF @ThePHF,,,https://linkedin.com/company/https://www.linkedin.com/company/public-health-foundation/mycompany/?viewAsMember=true @Public Healt
Public Health Young Leaders Association,,87-3394489,"['<em>Health,</em> Non-governmental organizations, <em>Public</em> charities']",Philadelphia,PA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Foundation for Hand Hygiene,,86-3121682,"['International relations, International development, Non-governmental organizations, <em>Public</em> charities']",Yardley,PA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Resource Center Associates,PHRC,85-3517436,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Conyers,GA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Beyond Borders,,87-1231097,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Takoma Park,MD,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Microbiology Charitable Trust,,94-3216399,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, Foundations']",Corvallis,OR,8488,3074,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Foundation of Northwest Illinois Inc,,11-3676983,"['THE ADVANCEMENT OF <em>PUBLIC HEALTH</em> AWARENESS AND TO SUPPORT THE PROVISION OF <em>PUBLIC HEALTH</em> SERVICES TO STEPHENSON COUNTY AND THE SURROUNDING COUNTIES IN NORTHWEST ILLINOIS.', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Freeport,IL,21356,149560,THE ADVANCEMENT OF PUBLIC HEALTH AWARENESS AND TO SUPPORT THE PROVISION OF PUBLIC HEALTH SERVICES TO STEPHENSON COUNTY AND THE SURROUNDING COUNTIES IN NORTHWEST ILLINOIS.,,,,,
Public Health Trust of Miami-Dade County Florida,,59-1713947,"['<em>Health,</em> In-patient medical care, Community <em>health</em> care, <em>Public health,</em> Diseases and conditions, Cancers, Breast cancer, <em>Public</em> affairs, Sexual identity, Women and girls, Social and economic status, Economically disadvantaged people, Non-governmental organizations, <em>Public</em> charities']",Miami,FL,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Media Inc,,88-4260124,"['Human services, Non-governmental organizations, <em>Public</em> charities']",Auburn,WA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Associations Collaborative Effort Inc,PHACE,88-4328478,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Green Brook,NJ,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Practitioner Certification Board Incorporated,,36-4335418,"['Philanthropy, Foundations, Non-governmental organizations, <em>Public</em> charities']",Springfield,IL,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Reserch Institute of Southern California,,47-4594165,"['Philanthropy, Non-governmental organizations, <em>Public</em> charities']",Santa Monica,CA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Research Institute Inc,,01-0481830,"[' <em>Health,</em> <em>Public health,</em> Education, Non-governmental organizations, <em>Public</em> charities', ' <em>PUBLIC HEALTH</em> RESEARCH PRIMARILY CONDUCTING STUDIES OF <em>HEALTH</em> ISSUES AFFECTING RURAL AREAS THROUGHOUT THE UNITED STATES']",Brownfield,ME,21392,60720,"To improve population health status through research and practice that permits communities to overcome adverse health condition be they social, economic, environmental or health system related.",,,,,
Public Health Service Academy of Physician Assistants PHSAPA,,86-0743507,"['Community and economic development, Business and industry, Business promotion, Work status and occupations, Academics, Non-governmental organizations, <em>Public</em> charities']",Raleigh,NC,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Watch Inc,,88-0600656,"[' IN 2022, OUR FIRST FULL YEAR OF OPERATION, <em>PUBLIC HEALTH</em> WATCH PRODUCED GROUND-BREAKING JOURNALISM ON', 'BASED IN TEXAS, WHICH HAS SOME OF THE WORST <em>HEALTH</em> OUTCOMES IN THE UNITED STATES. WE COLLABORATE WITH DIGITAL, PRINT AND BROADCAST NEWS OUTLETS AND UNIVERSITY JOURNALISM PROGRAMS ACROSS THE COUNTRY. Information']",Austin,TX,618013,681559,"PHW IS A NONPROFIT, NONPARTISAN NEWS ORGANIZATION THAT UNCOVERS TRUTHS ABOUT THREATS TO AMERICA'S WELL-BEING, HOLDING INSTITUTIONS AND INDIVIDUALS ACCOUNTABLE AND COMPELLING CHANGE. WE ARE NATIONAL IN SCOPE BUT BASED IN TEXAS, WHICH HAS SOME OF THE WORST HEALTH OUTCOMES IN THE UNITED STATES. WE COLLABORATE WITH DIGITAL, PRINT AND BROADCAST NEWS OUTLETS AND UNIVERSITY JOURNALISM PROGRAMS ACROSS THE COUNTRY.",,,,,
Public Health Partnership of Licking County Inc,,30-0332439,"['TO PROMOTE <em>PUBLIC HEALTH</em> SERVICES AND PROGRAMS IN LICKING COUNTY', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Newark,OH,0,0,TO PROMOTE PUBLIC HEALTH SERVICES AND PROGRAMS IN LICKING COUNTY,,,,,
Public Health Institute of Metropolitan Chicago,,36-3959353,"['<em>PUBLIC HEALTH</em> INSTITUTE OF METROPOLITAN CHICAGO (PHIMC) ENHANCES THE CAPACITY OF <em>PUBLIC HEALTH</em> AND HEALTHCARE SYSTEMS TO PROMOTE <em>HEALTH</em> EQUITY AND EXPAND ACCESS TO SERVICES. THROUGH ORGANIZATIONAL DEVELOPMENT, SYSTEM TRANSFORMATION, FISCAL MANAGEMENT, AND PROGRAM IMPLEMENTATION, PHIMC LEADS EFFORTS TO STRENGTHEN <em>PUBLIC HEALTH</em> INFRASTRUCTURE IN ILLINOIS.', ' <em>Health,</em> <em>Public health,</em> Social and economic status']",Chicago,IL,3670048,9098365,"PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO (PHIMC) ENHANCES THE CAPACITY OF PUBLIC HEALTH AND HEALTHCARE SYSTEMS TO PROMOTE HEALTH EQUITY AND EXPAND ACCESS TO SERVICES. THROUGH ORGANIZATIONAL DEVELOPMENT, SYSTEM TRANSFORMATION, FISCAL MANAGEMENT, AND PROGRAM IMPLEMENTATION, PHIMC LEADS EFFORTS TO STRENGTHEN PUBLIC HEALTH INFRASTRUCTURE IN ILLINOIS.",,,,,
Public Health Institute of Oklahoma,,30-0230304,"['To facilitate <em>public health</em> improvements.', ' <em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Oklahoma City,OK,464951,616715,To facilitate public health improvements.,,,,,
Public Health Management Services Corporation,,23-2971146,"[' STRENGTHEN &amp; SUPPORT <em>PUBLIC HEALTH</em> SVCS IN DELAWARE THRU CREATIVE SOLUTIONS &amp; COLLABORATIONS.', '<em>Health,</em> In-patient medical care, Community <em>health</em> care, Non-governmental organizations, Supporting organizations (general), <em>Public</em> charities STRENGTHEN']",Philadelphia,PA,0,0,STRENGTHEN & SUPPORT PUBLIC HEALTH SVCS IN DELAWARE THRU CREATIVE SOLUTIONS & COLLABORATIONS.,,,,,
Public Health Association of Nebraska,,47-0835670,"['<em>PUBLIC</em> EDUCATION ON <em>HEALTH</em> ISSUES', ' Education, <em>Health,</em> <em>Public health,</em> Work status and occupations, Academics, Students, Non-governmental organizations, <em>Public</em> charities']",Lincoln,NE,0,0,PUBLIC EDUCATION ON HEALTH ISSUES,,,,,
Public Health Innovations in Research & Development,,46-0997110,"[' <em>Health,</em> Non-governmental organizations, <em>Public</em> charities']",Columbia,SC,0,0,dissemination/implementation of lifestyle interventions,,,,,
Public Health Coalition Inc,,85-2168107,"['Community and economic development, Community improvement, Community organizing, Non-governmental organizations, <em>Public</em> charities']",Coatesville,PA,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Law Center Inc,,41-1896367,"['INDEED, AS A <em>PUBLIC HEALTH</em> CRISIS IN ITSELF. THIS WORK ALSO INCLUDES INITIATIVES TO BUILD EQUITY-DRIVEN STRUCTURES INTO THE POLICY PROCESS, ACROSS ISSUES, SUCH AS THE USE OF FORMAL ""RACIAL EQUITY NOTES"" TO ASSESS THE IMPACT OF PROPOSED LEGISLATION ON EQUITY AND JUSTICE.6. BY EMPLOYING LAW STUDENTS AND <em>PUBLIC HEALTH</em> GRADUATE STUDENTS AS RESEARCH ASSISTANTS TO INVESTIGATE CUTTING-EDGE <em>HEALTH</em>-RELATED LEGAL', ' <em>Health,</em> Mental <em>health</em> care, Addiction services, Smoking, <em>Public health,</em> Social sciences, Law, <em>Public</em> affairs, Leadership development, Social and economic status, Economically disadvantaged people, Low-income people, Non-governmental organizations, <em>Public</em> charities WHILE']",St Paul,MN,1134673,5331613,SEE SCHEDULE O,,,,,
Public Health Liberation,,87-3772652,"['<em>Health,</em> In-patient medical care, Community <em>health</em> care, Non-governmental organizations, <em>Public</em> charities']",Washington,DC,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health and International Development Administrative Service,PHIDAS,46-4211939,"['needs but that of nature as well. Phidas goal is to develop innovative solutions in the areas of agriculture,education and <em>health</em> system.Phidas seeksyoung and creative minds that will assist in developing a sustainable framework in Africa.', ' <em>Health,</em> Non-governmental organizations, <em>Public</em> charities']",Upper Marlboro,MD,0,0,"PHIDAS is a non-profit organization aiming at tacklingAfrica's developmental setbacks by employing sustainablemethods. Environmental concerns are on the rise and steps haveto be taken to ensure the developments do not only meet human needsbut that of nature as well. Phidas goal is to develop innovative solutionsin the areas of agriculture,education and health system.Phidas seeksyoung and creative minds that will assist in developing a sustainableframework in Africa.",,,,,
Public Health Fund of the Chamber of Commerce of Hawaii,,99-6010618,[],Honolulu,HI,2003065,602972,This organization has not provided GuideStar with a mission statement.,,,,,
Public Health Notebook LLC,REGIME WILLIS SOLE MBR,86-1537004,"['<em>Health,</em> <em>Public health,</em> Non-governmental organizations, <em>Public</em> charities']",Cleveland,OH,0,0,This organization has not provided GuideStar with a mission statement.,,,,,
Public Service Health Club,,74-1473384,[],San Antonio,TX,460660,241701,"THE PURPOSE OF THE CLUB SHALL BE TO PROVIDE FOR ITS MEMBERS GENERAL MEDICAL SERVICES ASSOCIATED WITH HOSPITAL CONFINEMENT OR APPROVED OUT-PATIENT CLINICAL FACILITIES AS DETAILED IN THE CLUB'S BYLAWS, BY ASSESSING AND COLLECTING THE MINIMUM MONTHLY DUES NECESSARY TO PROPERLY GUARANTEE SUCH DESCRIBED SERVICES.",,,,,
"The Task Force for Global Health, Inc.",The Task Force,58-1698648,"[' <em>public health,</em> informatics, neglected tropical diseases, <em>health</em> systems, collaboration, <em>health,</em> global <em>health,</em> humanitarian, field epidemiology, vaccines, <em>Health,</em> Medical support services, <em>Public health,</em> Diseases and conditions, International relations', 'control and elimination programs. This research addresses challengesin effectively scaling up programs and scaling down when goals are reached. The <em>Public Health</em> Informatics Institute (PHII) works to improve <em>health</em> outcomes worldwide by strengthening <em>health</em> practitioners’ abilities to use information effectively. PHII’s projects are concentrated in the areas of business process analysis, workforce development']",Decatur,GA,94755909,105577401,To solve large-scale health problems affecting vulnerable populations around the world and to build sustainable systems that protect and promote health.,https://facebook.com/TFGHATL,https://twitter.com/TFGH,https://youtube.com/channel/UChYJSWaFr1Uot-lb3JXEmsg,https://instagram.com/taskforceforglobalhealth,https://linkedin.com/company/the-task-force
