org_name,org_alt_name,ein_num,org_highlight,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link
HEART HEROES INC,HEART HEROES,45-4438001,"[' Congenital <em>Heart Disease,</em> CHD, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Human services, Family services, Youth development', '<em>Heart</em> Heroes, Inc. mission is to provide support to children and families affected by Congenital <em>Heart Disease</em> (CHD) through the distribution of superhero capes, programs to offer hope and awareness initiatives to increase funding for CHD programs. Congenital']",Omaha,NE,205788,339677,"Heart Heroes, Inc. mission is to provide support to children and families affected by Congenital Heart Disease (CHD) through the distribution of superhero capes, programs to offer hope and awareness initiatives to increase funding for CHD programs.",https://facebook.com/HeartHeroesInc,https://twitter.com/heartheroes,,https://instagram.com/heartheroes,
TEAM HEART INCORPORATED,Team Heart,27-1435443,"['congenital <em>heart disease</em> in Rwanda with improved access to surgical intervention and support for comprehensive cardiology care.&nbsp;To prevent advanced rheumatic <em>heart disease</em> through a combined effort of surveillance, prevention, education and early intervention as an example of effective countrywide intervention against rheumatic <em>heart disease</em> that will inspire replication in sub-Saharan Africa.', 'rheumatic <em>heart disease,</em> cardiac surgery, screening, Rwanda, Arts and culture, Health, In-patient medical care, Hospital care, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> International relations, International development, Age groups, Children and youth, Adolescents, Adults, Non-governmental organizations, Public charities']",Milton,MA,982359,928906,"Team Heart will focus their efforts:
To plan a cardiac center in Rwanda for all citizens to diagnose and treat cardiac disease to increase access to care. 

To garner support of the stakeholders and policymakers in Rwanda to address the burden of cardiac disease on a national platform. 

To address the suffering of adolescents and young adults afflicted with advanced rheumatic heart disease  and congenital heart disease in Rwanda with improved access to surgical intervention and support for comprehensive cardiology care. 

To prevent advanced rheumatic heart disease through a combined effort of surveillance, prevention, education and early intervention as an example of effective countrywide intervention against rheumatic heart disease that will inspire replication in sub-Saharan Africa.",https://facebook.com/http://www.facebook.com/TeamHeartRwanda?ref=ts,https://twitter.com/teamheartrwanda,https://youtube.com/teamheart,https://instagram.com/TeamHeartRwanda,https://linkedin.com/company/ceeyabolman
Arogya World,,27-2091051,"['   Prevention of Chronic <em>Disease,</em> Non Communicable <em>diseases,</em> Covid, Healthy Living, Healthy Diet, Healthy Lifestyle, Diabetes, <em>Heart Diseases,</em> Mental Health, Build Immunity, Health, Public health, Age groups, Children and youth, Adults, Ethnic and racial groups, People', 'Arogya World is a U.S. based non-profit organization (501(c)(3)), that has been working for the last decade to create a world without <em>diseases.</em>  We have focused on preventing noncommunicable <em>diseases</em> (NCD) through health education and lifestyle change in India, where the NCD burden is extremely high.  Since 2010, Arogya World has educated more than 6 million people on healthy habits and lifestyle change']",Spring House,PA,594420,897960,"Arogya World is a U.S. based non-profit organization (501(c)(3)), that has been working for the last decade to create a world without diseases.  We have focused on preventing noncommunicable diseases (NCD) through health education and lifestyle change in India, where the NCD burden is extremely high.  Since 2010, Arogya World has educated more than 6 million people on healthy habits and lifestyle change, and aims to reach ten times that number in the next decade.  Our mission is reflected in our name: “Arogya” in Sanskrit means to live a life without disease.",https://facebook.com/arogyaworld,https://twitter.com/@arogyaworld,,,https://linkedin.com/company/1539322
Kids with Heart Parents Support Group,"kids with heart natl assn for children's heart disorders, inc",39-1701829,"[' congenital <em>heart</em> defects, congenital <em>heart disease,</em> congenital <em>heart</em> defect support, Health, Medical support', ""Kids with <em>Heart</em> National Assn for Children's <em>Heart</em> Disorders Inc. is a non-profit, all volunteer organization whose mission is to provide support, education, awareness, &amp; informational materials to families of children with <em>heart</em> disorders, to assist them in making decisions regarding their child's care.We believe that Education is Power &amp; by providing information to families affected by <em>heart</em> defects""]",Green Bay,WI,0,0,"Kids with Heart National Assn for Children's Heart Disorders Inc. is a non-profit, all volunteer organization whose mission is to provide support, education, awareness, & informational materials to families of children with heart disorders, to assist them in making decisions regarding their child's care.
We believe that Education is Power & by providing information to families affected by heart defects, they may benefit from others’ experiences, new research results, & technology advancements.  Kids With Heart NACHD Inc., is funded by private donations. Our services are no-charge to enable all families to use them. All donations are voluntary & are used to improve & enhance the quality of lives, provide information for families with congenital heart defects.",https://facebook.com/https://www.facebook.com/kidswithheartnachd1985,,,,
Baptist Health Foundation,Wolfson Children's Hospital / Baptist Health,59-2487135,"["" Health Care, Hosptial, Children's Hospital, Cancer, <em>Heart Disease,</em> Behavioral Health, Health, In-patient medical care, Community health care, Mental health care, Community mental health care, Age groups, Children and youth, Adults, Family relationships, Families, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations, Public charities""]",Jacksonville,FL,275950155,66977594,"At Baptist Health, our mission is to continue the healing ministry of Christ by providing accessible, quality health care services at a reasonable cost in an atmosphere that fosters respect and compassion.",https://facebook.com/baptisthealthjx,https://twitter.com/baptistjahealthjx,https://youtube.com/baptisthealthjax,https://instagram.com/baptisthealthjx,https://linkedin.com/company/baptistjax
MENDED HEARTS INC,,04-6073589,"[' Peer-to-Peer Support Program for <em>Heart</em> Patients and Families, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age', ' <em>heart disease</em> patients, their families and caregivers.  Mended <em>Hearts</em> is a non-profit and volunteer-based organization, celebrating over 68 years of service by facilitating a positive patient-care experience and empowering patients to improve their quality of life. Peer-to-Peer']",Albany,GA,1702378,2019741,"Mended Hearts and Mended Little Hearts Mission Statement: To inspire hope and improve the quality of life of heart patients and their families through ongoing peer-to-peer support, education and advocacy.

Mended Hearts is the largest heart patient support network in the world, making more than 200,000 patient visits annually through its 300 chapters, all over the United States.  Mended Hearts works nationally and in communities to support and inspire hope in heart disease patients, their families and caregivers.  Mended Hearts is a non-profit and volunteer-based organization, celebrating over 68 years of service by facilitating a positive patient-care experience and empowering patients to improve their quality of life.",https://facebook.com/https://www.facebook.com/mendedhearts/,https://twitter.com/https://twitter.com/MendedHearts,https://youtube.com/https://www.youtube.com/channel/UC4IrrPqkTRqjxgivbhn5C-A,,https://linkedin.com/company/https://www.linkedin.com/company/the-mended-hearts-inc.
TEXAS HEART INSTITUTE,THI,74-6053200,"[' <em>Heart Disease,</em> <em>Heart</em> Research, <em>Heart</em> Information, <em>Heart</em> Problems, <em>Heart</em> Health, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Adults, Non-governmental organizations, Public charities', 'Texas <em>Heart</em> Institute is to deliver the future of cardiovascular health through exceptional patient care, discovery, and a commitment to learning. Heart']",Houston,TX,239276429,70190327,"The mission of the Texas Heart Institute is to deliver the future of cardiovascular health through exceptional patient care, discovery, and a commitment to learning.",https://facebook.com/Texas.Heart.Institute,https://twitter.com/Texas_Heart,https://youtube.com/TexasHeartInstitute,,https://linkedin.com/company/texas-heart-institute
Heart to Heart Global Cardiac Care,Heart to Heart International Children's Medical Alliance,94-3130437,"[' will have access to life-saving <em>heart</em> care.Mission:<em>Heart</em> to <em>Heart</em> develops self-sustaining medical programs in areas of need, measurably expanding access to life-saving cardiac care. Teams of specialists trained by <em>Heart</em> to <em>Heart</em> help to reduce the global burden of <em>heart disease</em> today and for generations to come.', ' pediatric, adult, cardiac, congenital, <em>heart disease,</em> CHD, cardiology, global, international']",Oakland,CA,1418459,577642,"Vision:
Worldwide, all children and adults, regardless of where they are born or where they live, will have access to life-saving heart care.

Mission:
Heart to Heart develops self-sustaining medical programs in areas of need, measurably expanding access to life-saving cardiac care. Teams of specialists trained by Heart to Heart help to reduce the global burden of heart disease today and for generations to come.",https://facebook.com/pages/Heart-to-Heart/259372463381,,https://youtube.com/heart2heartorg,https://instagram.com/hearttoheartglobal,https://linkedin.com/company/1487106
Rock from the Heart,,84-2009806,"[""Rock from the <em>Heart's</em> mission is to proactively educate people about aortic and <em>heart</em> valve <em>disease,</em> bridge the gap between impacted families and the support they need, connect those diagnosed with vital resources, and inspire all through the healing power of music.   Knowledge is powerful when it comes to your health, and Rock from the <em>Heart's</em> mission is to support families from diagnosis to recovery"", ' aortic <em>disease</em> education and awareness, <em>heart</em> valve <em>disease,</em> patient advocacy, aortic health, patient support , Health, <em>Diseases</em> and conditions, Heart and']",Delano,MN,121801,148882,"Rock from the Heart's mission is to proactively educate people about aortic and heart valve disease, bridge the gap between impacted families and the support they need, connect those diagnosed with vital resources, and inspire all through the healing power of music.   

Knowledge is powerful when it comes to your health, and Rock from the Heart's mission is to support families from diagnosis to recovery, connecting them with resources and information that is often hard to find. When families know the basics surrounding aortic disease, they will know how to be the best possible advocate for themselves when it comes to making medical decisions. 

Awareness is key to survival, and Rock from the Heart events help bring the condition to the forefront.",https://facebook.com/RockFromTheHeartMN,https://twitter.com/rockfromthheart,https://youtube.com/channel/UCdY9NEAcykAczG_rNaa3wtw,https://instagram.com/rockfromtheheart,https://linkedin.com/company//company/rockfromtheheart
Iowa Heart Foundation,Iowa Heart Center Foundation,42-1372472,"[' cardiovascular healthcare, <em>heart disease</em> prevention, Health, Public health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Children and youth, Adults, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations, Public charities', 'Iowa <em>Heart</em> Foundation is committed to improving <em>heart</em> health education and dedicated to the prevention of <em>heart disease.</em> cardiovascular']",West Des Moines,IA,7315267,682390,Iowa Heart Foundation is committed to improving heart health education and dedicated to the prevention of heart disease.,https://facebook.com/iowaheartfoundation,https://twitter.com/iaheartfdn,,https://instagram.com/iowaheartcenterfoundation/,https://linkedin.com/company/company/iowa-heart-foundation
MERRY HEART CHILDREN'S CAMP,,90-0982755,"[' <em>heart</em> camp, summer camp, congenital <em>heart disease,</em> Sports and recreation, Community recreation, Camps, Age groups, Children and youth, Non-governmental organizations', ""The mission of Merry <em>Heart</em> Children's Camp is to provide a safe, nurturing, and fun outdoor experience for youth with <em>heart</em> conditions where they can meet new friends and develop courage and independence without fear of being judged by others. heart""]",Portland,OR,317926,136227,"The mission of Merry Heart Children's Camp is to provide a safe, nurturing, and fun outdoor experience for youth with heart conditions where they can meet new friends and develop courage and independence without fear of being judged by others.",https://facebook.com/MerryHeartCC,https://twitter.com/MerryHeartCC,,https://instagram.com/merryheartcc,
CAMP ODAYIN,,41-2014358,"[' children, health, camp, <em>heart disease,</em> families, Health, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Sports and recreation, Community recreation, Camps, Human services, Youth development, Youth services, Youth mentoring, Adult', 'Camp Odayin provides fun, safe and supportive camp experiences and community building opportunities for young people with <em>heart disease</em> and their families. children']",St Paul,MN,1558568,1154310,"Camp Odayin provides fun, safe and supportive camp experiences and community building opportunities for young people with heart disease and their families.",https://facebook.com/campodayin,https://twitter.com/campodayin,https://youtube.com/campodayin,https://instagram.com/campodayin,https://linkedin.com/company/4756444
Heart N Hands,,47-1863855,"['awareness of <em>heart</em> health, <em>heart disease</em> prevention, provide <em>heart</em> health education, and encourage healthy lifestyle choices for young girls ages 10-18 and their families.We promote physical activities, <em>heart</em> healthy eating and <em>heart</em> healthy lifestyle choices. Our goal is to achieve improved <em>heart</em> health and increased education and awareness in young girls with a focus on <em>heart disease</em> prevention.  ', ' awareness, wellness, <em>heart</em> health, <em>heart disease</em> prevention, fitness, health, exercise, obesity, Education, Early childhood education, Health, Public health, Physical fitness, <em>Diseases</em> and conditions, Endocrine, nutritional']",New Orleans,LA,0,0,"Our mission is to empower, education and raise awareness of heart health, heart disease prevention, provide heart health education, and encourage healthy lifestyle choices for young girls ages 10-18 and their families.We promote physical activities, heart healthy eating and heart healthy lifestyle choices.Our goal is to achieve improved heart health and increased education and awareness in young girls with a focus on heart disease prevention.  In the past 4 years, Heart N Hands has educated over 2,500 young girls and their families and trained over 100 girls in Hands ONLY CPR (American Heart Association New Orleans).",https://facebook.com/heartnhands,https://twitter.com/myhearthands,https://youtube.com/https://youtu.be/CcEm2vfZw-U,https://instagram.com/my_heartnhandsnola,https://linkedin.com/company/heartnhands
GIFT OF LIFE INTERNATIONAL INC,,56-2322626,"['in Washington, DC and the Uganda <em>Heart</em> Institute to address the crisis of Rheumatic <em>Heart Disease</em> (RHD). As a result of the research completed, we have now established prevention, intervention and emotional support infrastructure for the tens of thousands of children at risk for and living with this <em>disease.</em> Rheumatic <em>Heart Disease</em> is an acquired <em>heart</em> valve <em>disease</em> that starts in early childhood with', ' Pediatric, children, <em>heart,</em> congenital <em>heart disease,</em> Cardiac, <em>Heart</em> Surgery, Catheterization, <em>Heart Disease,</em>  international, developing countries, Gift of Life, Gift of Life International, non-profit, sustainable, healing little <em>hearts</em> around the world, Health, Health care administration and financing, Patient social services, In-patient medical care, Hospital care, <em>Diseases</em> and conditions, Heart ']",Fresh Meadows,NY,1334809,2416396,"Our mission is to provide lifesaving cardiac treatment to children in need from developing countries regardless of their gender, creed, or national origin. Our goal is to develop sustainable pediatric cardiac programs by implementing screening, surgical, and training missions which are supported by autonomous Gift of Life programs, Rotary global grants, and generous donors from around the world.",https://facebook.com/pages/Gift-of-Life-International/228483773912741,https://twitter.com/https://twitter.com/goli_intl,https://youtube.com/user/giftoflifeint,https://instagram.com/goli_intl,https://linkedin.com/company/gift-of-life-international/?viewAsMember=true
Heart Disease Prevention Institute,,82-4686404,"['Created to research ways to help prevent <em>heart disease</em> and provide care for those at risk of <em>heart disease</em> and suffering from <em>heart</em> disease.Mission is to help prevent <em>heart disease</em> in those at risk and help provide medical care to those suffering the effects of <em>heart</em> disease.Currently we are providing fresh fruits and vegetables to those at risk of <em>heart disease</em> and medical supplies to hospitals and health', 'This unique situation will allow us to do a long term study of the <em>Heart Disease</em> prevention effects of a diet rich in Fruits and Vegetables. Scientific research concludes that the best diet for preventing <em>Heart Disease</em> is one that is low in fat and high in vegetables and fruits. Overall, most <em>Heart Disease</em> could be prevented. <em>Heart Disease</em> Prevention Institute provides Medical Supplies to Organizacion ']",Peoria,AZ,0,0,"Created to research ways to help prevent heart disease and provide care for those at risk of heart disease and suffering from heart disease.
Mission is to help prevent heart disease in those at risk and help provide medical care to those suffering the effects of heart disease.
Currently we are providing fresh fruits and vegetables to those at risk of heart disease and medical supplies to hospitals and health clinics providing care for those suffering the effects of heart disease",,,,,
Project Bubaloo Inc,Project Bubaloo,83-1296566,"['Spreading Congenital <em>Heart Disease</em> awareness and funding CHD research.', ' Research, CHD, <em>Heart,</em> community awareness, children, congenital <em>heart disease,</em> Health, <em>Diseases</em> and conditions, Age groups, Adults, Health, People with <em>diseases</em> and illnesses, Non-governmental organizations, Public charities']",Hubertus,WI,43844,102333,Spreading Congenital Heart Disease awareness and funding CHD research.,https://facebook.com/https://www.facebook.com/ProjectBubaloo,,,https://instagram.com/project_bubaloo,
Simon's Heart,Simon's Heart,20-2771448,"[' sudden cardiac arrest, sids, sads, cardiomyopathy, long qt, fainting, <em>heart disease,</em> pediatric, CPR, AED, Health, Public health, Medical specialties, Pediatrics, <em>Diseases</em> and conditions, <em>Heart</em> and circulatory system <em>diseases,</em> Age groups, Children and youth, Family relationships, Families, Non-governmental organizations', ""Simon's <em>Heart</em> prevents sudden cardiac arrest and death in children, teens and young adults. sudden""]",Conshohocken,PA,663582,963078,"Simon's Heart prevents sudden cardiac arrest and death in children, teens and young adults.",https://facebook.com/simonsheart.org/,https://twitter.com/@simonsheartorg,https://youtube.com/https://www.youtube.com/user/simonsfund,https://instagram.com/simonsheart,https://linkedin.com/company//company/simons-heart/
GYMJAM FOUNDATION,,06-1786827,"[' sports, gymnastics, children, <em>heart disease,</em> community, Sports and recreation, Sports, Sports training, Human services, Youth development, Youth services, Age groups, Children and youth, Family relationships, Families, Non-governmental organizations']",Santa Clarita,CA,24984,268856,"THE PRIMARY OBJECTIVES AND PURPOSES OF THE FOUNDATION SHALL BE TO FOSTER NATIONAL AND INTERNATIONAL AMATEUR SPORTS COMPETITION AS WELL AS CONDUCT NATIONAL OR INTERNATIONAL COMPETITION. AS SUCH, THE ACTIVITIES OF THE FOUNDATION INCLUDES FUNDRAISING TO ASSIST IN PAYING COSTS FOR MEET FEES, JUDGES FEES, COACHES FEES, TRAVEL EXPENSES, FOOD COSTS, INSURANCE, PROFESSIONAL DEVELOPMENT, PROFESSIONAL SERVICES; HOSTING GYMNASTICS MEETS; PROVIDING ATHLETES WITH SPONSORSHIP FOR NATIONAL AND INTERNATIONAL COMPETITION, AND OTHER EXPENDITURES AND ACTIVITIES EITHER DIRECTLY OR INDIRECTLY ASSOCIATED WITH THE PURPOSE OF THE FOUNDATION AS OUTLINED IN THE ARTICLES OF INCORPORATION.  IN ADDITION, THROUGH HOSTING GYMNASTICS MEETS, PROCEEDS CONTRIBUTE TO SUPPORTING CAMP DEL CORAZON, A CAMP FOR CHILDREN WITH CHDs",https://facebook.com/ChrisWallersHeartOfAChampion,,,https://instagram.com/heart_of_a_champion_meet,
CHINA CALIFORNIA HEART WATCH,China Cal,20-5111707,"['California <em>Heart</em> Watch (chinacal.org) has now partnered with the Mae Tao Clinic (maetaoclinic.org), Burma Children’s Medical Fund (burmachildren.org) and with dozens of refugee schools to find and treat children with <em>heart disease</em>.Due to the primitive conditions imposed on Burmese farmers and refugees, <em>heart disease</em> is much more prevalent among their children.   In 2020, China Cal will screen the <em>hearts</em> of ', 'Refugee Children <em>Heart Disease</em> Screening, Health, Out-patient medical care, Health care clinics, <em>Diseases</em> and conditions, Genetic conditions and birth defects, Age groups, Children and youth, Social and economic status, Economically disadvantaged people, Non-governmental organizations, Public charities Provides']",Denver,CO,0,0,"Our mission is to serve the rural poor in South East Asia through:
- Education and training of medical professionals
- Providing free healthcare to impoverished farmers
- Medical research",https://facebook.com/https://www.facebook.com/search/top/?q=china%20california%20heart%20watch,,,,
